file,class,speckle_count
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_100.png,world_24x24,9
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1000.png,world_24x24,6
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1001.png,world_24x24,2
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1002.png,world_24x24,7
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1003.png,world_24x24,8
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1004.png,world_24x24,2
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1005.png,world_24x24,6
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1006.png,world_24x24,10
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1007.png,world_24x24,13
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1008.png,world_24x24,12
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1009.png,world_24x24,7
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1010.png,world_24x24,16
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1011.png,world_24x24,11
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1012.png,world_24x24,7
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1013.png,world_24x24,9
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1014.png,world_24x24,17
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1015.png,world_24x24,8
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1016.png,world_24x24,10
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_102.png,world_24x24,20
