path,game_key,asset_class,merges_applied,merge_log,final_color_count,final_overall,aborted_reason,flag
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5051.png,chair,prop,4,"[{""step"": 1, ""merged_from"": [111, 69, 59], ""merged_into"": [123, 74, 59], ""dist"": 13.0, ""colors_remaining"": 13}, {""step"": 2, ""merged_from"": [91, 65, 45], ""merged_into"": [85, 53, 45], ""dist"": 13.42, ""colors_remaining"": 12}, {""step"": 3, ""merged_from"": [181, 119, 91], ""merged_into"": [179, 135, 95], ""dist"": 16.61, ""colors_remaining"": 11}, {""step"": 4, ""merged_from"": [199, 163, 129], ""merged_into"": [213, 161, 145], ""dist"": 21.35, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5054.png,table,prop,2,"[{""step"": 1, ""merged_from"": [84, 43, 33], ""merged_into"": [77, 37, 28], ""dist"": 10.49, ""colors_remaining"": 11}, {""step"": 2, ""merged_from"": [138, 95, 43], ""merged_into"": [148, 101, 51], ""dist"": 14.14, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5055.png,table,prop,1,"[{""step"": 1, ""merged_from"": [194, 139, 87], ""merged_into"": [207, 152, 85], ""dist"": 18.49, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5059.png,bed,prop,4,"[{""step"": 1, ""merged_from"": [196, 196, 196], ""merged_into"": [201, 201, 201], ""dist"": 8.66, ""colors_remaining"": 13}, {""step"": 2, ""merged_from"": [194, 139, 87], ""merged_into"": [207, 152, 85], ""dist"": 18.49, ""colors_remaining"": 12}, {""step"": 3, ""merged_from"": [201, 201, 201], ""merged_into"": [189, 189, 189], ""dist"": 20.78, ""colors_remaining"": 11}, {""step"": 4, ""merged_from"": [166, 116, 70], ""merged_into"": [181, 119, 91], ""dist"": 25.98, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5061.png,bench,prop,3,"[{""step"": 1, ""merged_from"": [75, 47, 40], ""merged_into"": [67, 45, 36], ""dist"": 9.17, ""colors_remaining"": 12}, {""step"": 2, ""merged_from"": [123, 74, 59], ""merged_into"": [111, 69, 59], ""dist"": 13.0, ""colors_remaining"": 11}, {""step"": 3, ""merged_from"": [91, 65, 45], ""merged_into"": [85, 53, 45], ""dist"": 13.42, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5064.png,desk,prop,2,"[{""step"": 1, ""merged_from"": [111, 69, 59], ""merged_into"": [123, 74, 59], ""dist"": 13.0, ""colors_remaining"": 11}, {""step"": 2, ""merged_from"": [181, 119, 91], ""merged_into"": [179, 135, 95], ""dist"": 16.61, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5067.png,glowing_mushroom,prop,2,"[{""step"": 1, ""merged_from"": [105, 105, 105], ""merged_into"": [88, 88, 88], ""dist"": 29.44, ""colors_remaining"": 11}, {""step"": 2, ""merged_from"": [235, 192, 153], ""merged_into"": [248, 211, 176], ""dist"": 32.54, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5068.png,glowing_mushroom,prop,2,"[{""step"": 1, ""merged_from"": [255, 245, 224], ""merged_into"": [255, 236, 217], ""dist"": 11.4, ""colors_remaining"": 11}, {""step"": 2, ""merged_from"": [255, 247, 212], ""merged_into"": [255, 236, 217], ""dist"": 12.08, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5069.png,glowing_mushroom,prop,1,"[{""step"": 1, ""merged_from"": [128, 191, 191], ""merged_into"": [129, 198, 226], ""dist"": 35.71, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5070.png,mural_wood_cool,prop,1,"[{""step"": 1, ""merged_from"": [33, 64, 64], ""merged_into"": [36, 61, 52], ""dist"": 12.73, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5072.png,mural_gold_warm,prop,3,"[{""step"": 1, ""merged_from"": [179, 135, 95], ""merged_into"": [166, 139, 91], ""dist"": 14.18, ""colors_remaining"": 12}, {""step"": 2, ""merged_from"": [150, 150, 150], ""merged_into"": [164, 161, 159], ""dist"": 19.95, ""colors_remaining"": 11}, {""step"": 3, ""merged_from"": [230, 225, 173], ""merged_into"": [218, 214, 189], ""dist"": 22.83, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5073.png,mural_gold_warm,prop,4,"[{""step"": 1, ""merged_from"": [71, 68, 56], ""merged_into"": [81, 77, 63], ""dist"": 15.17, ""colors_remaining"": 13}, {""step"": 2, ""merged_from"": [179, 135, 95], ""merged_into"": [181, 119, 91], ""dist"": 16.61, ""colors_remaining"": 12}, {""step"": 3, ""merged_from"": [54, 54, 54], ""merged_into"": [44, 44, 44], ""dist"": 17.32, ""colors_remaining"": 11}, {""step"": 4, ""merged_from"": [194, 139, 87], ""merged_into"": [207, 152, 85], ""dist"": 18.49, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5079.png,rubble,decal,2,"[{""step"": 1, ""merged_from"": [185, 185, 185], ""merged_into"": [189, 189, 189], ""dist"": 6.93, ""colors_remaining"": 11}, {""step"": 2, ""merged_from"": [118, 118, 118], ""merged_into"": [114, 114, 114], ""dist"": 6.93, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5087.png,training_dummy,prop,4,"[{""step"": 1, ""merged_from"": [69, 66, 54], ""merged_into"": [81, 77, 63], ""dist"": 18.6, ""colors_remaining"": 13}, {""step"": 2, ""merged_from"": [128, 96, 56], ""merged_into"": [148, 101, 51], ""dist"": 21.21, ""colors_remaining"": 12}, {""step"": 3, ""merged_from"": [146, 110, 77], ""merged_into"": [166, 116, 70], ""dist"": 22.02, ""colors_remaining"": 11}, {""step"": 4, ""merged_from"": [148, 101, 51], ""merged_into"": [166, 116, 70], ""dist"": 30.17, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5096.png,shelf,prop,3,"[{""step"": 1, ""merged_from"": [75, 47, 40], ""merged_into"": [67, 45, 36], ""dist"": 9.17, ""colors_remaining"": 12}, {""step"": 2, ""merged_from"": [179, 135, 95], ""merged_into"": [181, 119, 91], ""dist"": 16.61, ""colors_remaining"": 11}, {""step"": 3, ""merged_from"": [213, 161, 145], ""merged_into"": [199, 163, 129], ""dist"": 21.35, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5106.png,nightstand,prop,1,"[{""step"": 1, ""merged_from"": [219, 212, 193], ""merged_into"": [218, 214, 189], ""dist"": 4.58, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5107.png,nightstand,prop,3,"[{""step"": 1, ""merged_from"": [111, 69, 59], ""merged_into"": [123, 74, 59], ""dist"": 13.0, ""colors_remaining"": 12}, {""step"": 2, ""merged_from"": [213, 161, 145], ""merged_into"": [199, 163, 129], ""dist"": 21.35, ""colors_remaining"": 11}, {""step"": 3, ""merged_from"": [166, 116, 70], ""merged_into"": [146, 110, 77], ""dist"": 22.02, ""colors_remaining"": 10}]",10,WARN,,auto_collapsed
